!lambda    nu*dP/dnu  
! (um)   (erg s-1 H-1)
1.803E+02  2.056E-24  
1.786E+02  2.088E-24  
1.770E+02  2.119E-24  
1.754E+02  2.150E-24  
1.738E+02  2.182E-24  
1.722E+02  2.213E-24  
1.706E+02  2.244E-24  
1.690E+02  2.276E-24  
1.675E+02  2.307E-24  
1.660E+02  2.338E-24  
1.644E+02  2.370E-24  
1.629E+02  2.402E-24  
1.614E+02  2.433E-24  
1.600E+02  2.465E-24  
1.585E+02  2.497E-24  
1.570E+02  2.529E-24  
1.556E+02  2.561E-24  
1.542E+02  2.594E-24  
1.528E+02  2.627E-24  
1.514E+02  2.660E-24  
1.500E+02  2.694E-24  
1.486E+02  2.727E-24  
1.472E+02  2.759E-24  
1.459E+02  2.791E-24  
1.445E+02  2.821E-24  
1.432E+02  2.848E-24  
1.419E+02  2.872E-24  
1.406E+02  2.891E-24  
1.393E+02  2.905E-24  
1.380E+02  2.912E-24  
1.368E+02  2.914E-24  
1.355E+02  2.911E-24  
1.343E+02  2.904E-24  
1.330E+02  2.895E-24  
1.318E+02  2.885E-24  
1.306E+02  2.874E-24  
1.294E+02  2.862E-24  
1.282E+02  2.851E-24  
1.271E+02  2.839E-24  
1.259E+02  2.827E-24  
1.247E+02  2.816E-24  
1.236E+02  2.805E-24  
1.225E+02  2.794E-24  
1.213E+02  2.783E-24  
1.202E+02  2.771E-24  
1.191E+02  2.760E-24  
1.180E+02  2.748E-24  
1.169E+02  2.736E-24  
1.159E+02  2.723E-24  
1.148E+02  2.709E-24  
1.138E+02  2.696E-24  
1.127E+02  2.682E-24  
1.117E+02  2.667E-24  
1.107E+02  2.653E-24  
1.096E+02  2.637E-24  
1.086E+02  2.621E-24  
1.076E+02  2.605E-24  
1.067E+02  2.587E-24  
1.057E+02  2.570E-24  
1.047E+02  2.551E-24  
1.038E+02  2.532E-24  
1.028E+02  2.512E-24  
1.019E+02  2.491E-24  
1.009E+02  2.470E-24  
1.000E+02  2.448E-24  
9.908E+01  2.424E-24  
9.817E+01  2.401E-24  
9.727E+01  2.376E-24  
9.638E+01  2.351E-24  
9.550E+01  2.326E-24  
9.462E+01  2.300E-24  
9.376E+01  2.273E-24  
9.290E+01  2.246E-24  
9.204E+01  2.218E-24  
9.120E+01  2.190E-24  
9.036E+01  2.161E-24  
8.954E+01  2.132E-24  
8.872E+01  2.102E-24  
8.790E+01  2.072E-24  
8.710E+01  2.042E-24  
8.630E+01  2.011E-24  
8.551E+01  1.980E-24  
8.472E+01  1.948E-24  
8.395E+01  1.917E-24  
8.318E+01  1.885E-24  
8.241E+01  1.853E-24  
8.166E+01  1.822E-24  
8.091E+01  1.790E-24  
8.017E+01  1.758E-24  
7.943E+01  1.726E-24  
7.870E+01  1.694E-24  
7.798E+01  1.661E-24  
7.727E+01  1.629E-24  
7.656E+01  1.597E-24  
7.586E+01  1.565E-24  
7.516E+01  1.533E-24  
7.447E+01  1.502E-24  
7.379E+01  1.469E-24  
7.311E+01  1.438E-24  
7.244E+01  1.406E-24  
7.178E+01  1.375E-24  
7.112E+01  1.344E-24  
7.047E+01  1.314E-24  
6.982E+01  1.284E-24  
6.918E+01  1.255E-24  
6.855E+01  1.226E-24  
6.792E+01  1.197E-24  
6.730E+01  1.168E-24  
6.668E+01  1.140E-24  
6.607E+01  1.113E-24  
6.546E+01  1.085E-24  
6.486E+01  1.059E-24  
6.427E+01  1.033E-24  
6.368E+01  1.007E-24  
6.310E+01  9.819E-25  
6.252E+01  9.574E-25  
6.194E+01  9.336E-25  
6.138E+01  9.102E-25  
6.081E+01  8.874E-25  
6.026E+01  8.650E-25  
5.970E+01  8.431E-25  
5.916E+01  8.220E-25  
5.861E+01  8.012E-25  
5.808E+01  7.811E-25  
5.754E+01  7.617E-25  
5.702E+01  7.429E-25  
5.649E+01  7.246E-25  
5.598E+01  7.070E-25  
5.546E+01  6.898E-25  
5.495E+01  6.733E-25  
5.445E+01  6.574E-25  
5.395E+01  6.420E-25  
5.346E+01  6.272E-25  
5.297E+01  6.127E-25  
5.248E+01  5.990E-25  
5.200E+01  5.856E-25  
5.152E+01  5.730E-25  
5.105E+01  5.604E-25  
5.058E+01  5.487E-25  
5.012E+01  5.373E-25  
4.966E+01  5.266E-25  
4.920E+01  5.164E-25  
4.875E+01  5.064E-25  
4.831E+01  4.970E-25  
4.786E+01  4.881E-25  
4.742E+01  4.796E-25  
4.699E+01  4.714E-25  
4.656E+01  4.635E-25  
4.613E+01  4.561E-25  
4.571E+01  4.490E-25  
4.529E+01  4.422E-25  
4.487E+01  4.359E-25  
4.446E+01  4.297E-25  
4.406E+01  4.237E-25  
4.365E+01  4.181E-25  
4.325E+01  4.129E-25  
4.285E+01  4.077E-25  
4.246E+01  4.027E-25  
4.207E+01  3.980E-25  
4.169E+01  3.936E-25  
4.130E+01  3.893E-25  
4.093E+01  3.852E-25  
4.055E+01  3.812E-25  
4.018E+01  3.774E-25  
3.981E+01  3.737E-25  
3.945E+01  3.702E-25  
3.908E+01  3.668E-25  
3.873E+01  3.634E-25  
