Spec        m/mH  ED(K) Eb(K) dEb(K)                           dHf(kcal/mol)
JH            1   450.  225. 3.0E+01 Herma, Ebfac=50%         *  +51.63
X             1   350.  175. 3.0E+01 TA H2Oice, Ebfac=50%     *  +51.63
X             1   350.  287. 3.0E+01 TA H2Oice, Eb Katz       *  +51.63
X             1   373.  287. 3.0E+01 Katz et al. 1999         *  +51.63
JH2           2    23.  250. 0.0e+00 Herma, Ebfac=50%         *    0.00 
X             2   315.  158. 0.0e+00 Katz, Ebfac=50%          *    0.00
JC7N         98  6400.    0. 0.0e+00 C5N+C+C                  * +295.00                                                      
JC9N        122  8000.    0. 0.0e+00 C7N+C+C                  * +354.00                                                      
JHCN         27  2050.    0. 0.0e+00 H+CN                     *  +31.60                                                      
JHNC         27  2050.    0. 0.0e+00 HCN                      *  +46.40                                                      
JCNH2        28  2400.    0. 0.0e+00 HCN+H                    *  +55.70                                                      
JH2CN        28  2400.    0. 0.0e+00 HCN+H                    *  +55.70                                                      
JCH3N        29  2850.    0. 0.0e+00 H2CN+H                   *  +78.10                                                      
JCHNH2       29  4881.    0. 0.0e+00 CH+NH2                   * -999.99                                                      
JCH3NH2      31  6584.    0. 0.0e+00 CH2+NH3                  *   -5.50                                                      
JHC3N        51  4580.    0. 0.0e+00 HCCN+C                   *  +84.00                                                      
JHC5N        75  6180.    0. 0.0e+00 HC3N+C+C                 *  +84.00                                                      
JHC7N        99  7780.    0. 0.0e+00 HC5N+C+C                 *  +84.00                                                      
JHC9N       123  9380.    0. 0.0e+00 HC7N+C+C                 *  +84.00                                                      
JH2CCN       40  4230.    0. 0.0e+00 CH3CN-H                  *  +59.00
JCH3CN       41  4680.    0. 0.0e+00 Collings                 *  +19.00                                                      
JCH2CHCN     53  5480.    0. 0.0e+00 HC3N+H+H                 *  +44.00                                                      
JCH3C3N      65  6480.    0. 0.0e+00 C3H3N+C                  *  +81.00                                                      
JCH3C5N      89  7880.    0. 0.0e+00 H3C5N+C                  * -999.99                                                      
JCH3C7N     113  9480.    0. 0.0e+00 H3C7N+C                  * -999.99                                                      
JCHOH        30  4634.    0. 0.0e+00 CH2OH-H                  *  -25.00                                                      
JCH3OH       32  5534.    0. 0.0e+00 Collings                 *  -45.40                                                    
JCH3CH2OH    46  6584.    0. 0.0e+00 CH3OH+CH2                *  -51.90                                                      
JOCN         42  2400.    0. 0.0e+00 O+C+N                    *  +37.00                                                      
JHNCO        43  2850.    0. 0.0e+00 OCN+H                    *  +23.60                                                      
JCH3OCH3     46  3150.    0. 0.0e+00 CH3+CH3+O                *  -39.70                                                      
JSiC         40  3500.    0. 0.0e+00 Si+C                     * +170.88
JSiO         44  3500.    0. 0.0e+00 Si+O                     *  -24.30
